year,population,gdp,co2 without land_use,co2
1750,939415.7647058824,,0.5195000000000001,
1751,,,0.5195000000000001,
1752,,,0.5196666666666666,
1753,,,0.5196666666666666,
1754,,,0.519888888888889,
1755,,,0.5201111111111111,
1756,,,0.5558888888888889,
1757,,,0.5561111111111111,
1758,,,0.5563333333333333,
1759,,,0.5565,
1760,975515.6470588235,,0.5565,
1761,,,0.6096666666666667,
1762,,,0.6098333333333333,
1763,,,0.6100555555555556,
1764,,,0.6102777777777777,
1765,,,0.6104444444444445,
1766,,,0.6811111111111111,
1767,,,0.6812777777777778,
1768,,,0.6815,
1769,,,0.6817222222222222,
1770,1012885.0588235294,,0.6818888888888889,
1771,,,0.7562222222222222,
1772,,,0.7563888888888889,
1773,,,0.7566111111111111,
1774,,,0.7568333333333332,
1775,,,0.757,
1776,,,0.835388888888889,
1777,,,0.8356111111111111,
1778,,,0.8357777777777778,
1779,,,0.836,
1780,1051835.7647058824,,0.8363888888888888,
1781,,,0.9357222222222222,
1782,,,0.9359444444444445,
1783,,,0.9363333333333332,
1784,,,0.9365555555555556,
1785,,,0.8878421052631579,
1786,,,1.008,
1787,,,1.0083684210526318,
1788,,,1.008578947368421,
1789,,,1.0089473684210528,
1790,1076619.5555555555,,1.0093684210526317,
1791,,,1.1273684210526316,
1792,,,1.0947999999999998,
1793,,,1.09575,
1794,,,1.09405,
1795,,,1.0946500000000001,
1796,,,1.1476000000000002,
1797,,,1.20475,
1798,,,1.25475,
1799,,,1.32145,
1800,2315451.8181818184,,1.2769545454545455,
1801,3014810.529411765,,1.2709090909090908,
1802,4439737.052631579,,1.5326250000000001,
1803,3088037.0,,1.431318181818182,
1804,4587212.722222222,,1.4917391304347827,
1805,3163491.0,,1.5191363636363635,
1806,3202076.0,,1.593,
1807,3234749.0,,1.603217391304348,
1808,3281008.588235294,,1.5938636363636363,
1809,3321375.411764706,,1.5950454545454547,
1810,3827185.434782609,,1.6252173913043477,
1811,4941288.333333333,,1.7210000000000003,
1812,5020661.944444444,,1.7829565217391306,
1813,5110379.5,,1.7921304347826088,
1814,5203572.388888889,,1.8316956521739132,
1815,5300416.222222222,,1.8908260869565219,
1816,5401095.666666667,,2.072391304347826,
1817,5505805.944444444,,2.149173913043478,
1818,5614752.777777778,,2.158391304347826,
1819,5591927.052631579,,2.081166666666667,
1820,4513003.0,26138394220.0,2.1119583333333334,
1821,5763988.52631579,40242963968.0,2.143125,
1822,5837393.2105263155,40430574592.0,2.2277083333333336,
1823,5901485.52631579,41628383264.0,2.35625,
1824,5966585.0,43585541824.0,2.4385416666666666,
1825,6032711.7894736845,43816644048.0,2.5315,
1826,6099887.47368421,43553174368.0,2.5591666666666666,
1827,6168134.052631579,45028542944.0,2.746458333333333,
1828,6237473.947368421,45297535456.0,2.7765416666666667,
1829,6046285.7,45866304600.0,2.6557999999999997,
1830,4750532.2558139535,28707753782.857143,2.072627906976744,
1831,5418911.342105263,39416546393.6,1.9657674418604651,
1832,5588773.324324325,51737812880.0,2.0264285714285712,
1833,5642699.378378378,52405441832.0,2.066809523809524,
1834,6567782.782608695,43099114969.6,3.1602500000000004,
1835,6553375.260869565,41340583594.666664,3.2302500000000003,
1836,6618334.173913044,45950487833.6,3.742,
1837,6684287.565217392,45949598118.4,3.7390000000000003,
1838,6751256.956521739,47612132147.2,3.8587857142857147,
1839,6662024.25,40575209493.333336,3.8487241379310344,
1840,5579175.827586207,33090711880.0,4.101068965517241,
1841,6786706.375,42162626325.333336,4.2282758620689656,
1842,6847357.916666667,41856033504.0,4.4656896551724135,
1843,6686560.8,38094680822.85714,4.4285,
1844,6745330.56,40739057590.85714,4.7142,
1845,6805177.52,39526842080.0,5.1737,
1846,6717877.692307692,35116242232.888885,5.09016129032258,
1847,6778403.038461538,36351599374.22222,5.561387096774193,
1848,6910199.76,36446480341.333336,5.793866666666667,
1849,6974747.48,36980325461.333336,6.117066666666667,
1850,6236815.521951219,35597212093.17647,4.280369565217391,20.36918088597211
1851,6567824.082051282,45049936911.05882,6.413032258064516,23.30597565429093
1852,6613218.06185567,35147083920.0,6.695129032258064,23.94982242848448
1853,6620890.546391753,35833262784.0,7.006709677419355,24.729077601947655
1854,6595174.697435898,36681424032.0,8.230322580645161,26.082690505173463
1855,6637967.304123712,34877526497.882355,5.655804347826088,23.629818498769485
1856,6647385.845360825,38448208768.0,8.944903225806451,27.14481360316494
1857,6657401.365979382,39627083520.0,9.028677419354839,27.366323645769935
1858,6668022.082474227,40450551504.0,5.799408163265306,24.328568540623795
1859,6680578.402061855,40914374640.0,6.149163265306123,24.824167982287253
1860,6046873.781395349,35174679062.4,6.238490566037735,23.093396226415095
1861,6642987.464285715,47396745431.57895,6.561018867924529,22.30016037735849
1862,6729582.819587629,40762848632.47059,6.680339622641509,21.981169811320754
1863,6749599.37113402,43243637353.411766,7.129415094339622,22.259330188679243
1864,6770044.329896907,44335205150.117645,7.681,22.43379716981132
1865,6790883.608247423,42253081628.44444,8.005703703703704,22.481491439552762
1866,6812114.19072165,42726066090.666664,8.258666666666667,22.551562893081762
1867,6833775.912371134,43071719153.77778,8.84837037037037,22.94803074772886
1868,6855863.221649485,44734394325.333336,8.922799999999999,22.804535849056602
1869,6880955.12886598,45911805283.55556,9.47510909090909,23.091887392795883
1870,6269509.640186916,25522985887.50769,9.50964285714286,25.22581738544475
1871,6834429.538071066,35652126341.12,10.109732142857142,26.716293463611862
1872,6974273.391752577,36934450319.36,11.185196428571428,28.297625673854448
1873,7011532.474226804,37729643806.72,11.882446428571429,29.573012466307276
1874,7049162.422680412,39577669169.23077,11.12494642857143,29.230158692722373
1875,7087307.757731959,39981104163.84,12.067875,30.378224056603774
1876,7125866.288659794,39785397949.44,12.4646,31.091043396226414
1877,7164688.242268041,40708266158.08,12.710927272727274,31.612318782161232
1878,7203860.175257732,41550365921.28,12.357543859649123,31.607043859649124
1879,7245756.773195877,42357108741.12,13.014948275862068,32.543891672088485
1880,6615962.761682243,45186097914.88,14.719051724137932,34.3141790826285
1881,7226793.730964467,46724962851.84,14.956033898305085,34.70793484170131
1882,7389311.75257732,48366358348.8,16.067620689655172,36.13978106701366
1883,7443207.391752577,49479572736.0,16.797169491525423,37.19512703869523
1884,7497772.231958763,57267406532.92308,16.702916666666667,37.22601100628931
1885,7553295.391752577,58145720613.92593,15.298075757575758,35.82272198399085
1886,7609367.319587629,58974698296.888885,17.091183333333333,37.79212672955975
1887,7666233.097938145,71134497225.14285,17.651754098360655,38.57422579647387
1888,7723756.62371134,61840986036.14815,19.230209677419353,40.04932760194765
1889,7780129.402061855,63510610659.55556,19.222516129032257,40.228818015824714
1890,7110472.588785047,60542984140.10811,18.818202898550727,40.971401011758275
1891,7769431.106598984,65016011652.74074,19.4125,42.3341320754717
1892,7942231.298969072,67839501861.92593,19.029,42.22835849056604
1893,7993776.74742268,67731273045.333336,18.800930555555556,42.33366640461216
1894,8046034.19072165,69054550234.07408,19.456333333333333,43.17504559748428
1895,8099072.551546392,69965278729.14285,20.346164383561643,44.35559362884466
1896,8152566.154639175,67592575046.62069,20.7257027027027,44.87443383477817
1897,8206811.62886598,71385090339.31035,21.706810810810808,46.03874949005609
1898,8261702.046391753,73998732844.13792,22.895554054054053,47.34966254462009
1899,8319985.06185567,76172338255.44827,24.677306666666667,49.35778779874214
1900,7501574.456221198,67552299106.34146,26.38122972972973,52.2753570882203
1901,8317790.832487309,66207658055.111115,26.889933333333335,53.51996635220126
1902,8470805.102564102,65608383065.945946,27.20638157894737,54.52183912611718
1903,8585928.324742269,67852091305.51351,29.27390909090909,56.86005060034306
1904,8658344.87628866,68405039027.89189,29.227589743589743,57.25081615868408
1905,8731700.922680411,70702685533.40541,30.725455696202534,59.07063965846669
1906,8760906.323076922,71462941118.35898,32.49660256410257,61.058852564102565
1907,8881431.94329897,74286906635.78947,37.029576923076924,65.96978918722786
1908,8957935.37113402,72642443893.89473,35.144341772151904,64.25844082875568
1909,9031376.340206185,77358760725.89473,35.68483950617284,64.93495271372001
1910,8222328.627906977,71927825972.09302,36.997768292682935,65.5423815002301
1911,8983546.904040404,84941197226.14635,37.55143902439024,65.86588242061666
1912,9232791.87628866,81519668017.23077,39.45780487804878,67.29727657616199
1913,9293916.63402062,60144228040.72727,41.24552941176471,68.7481756381798
1914,9356022.407216495,77302310289.6,40.252063291139244,67.75521895151661
1915,9418833.835051546,77804459718.4,39.179725,66.28967311320754
1916,9433448.964102564,81338591723.70732,41.283926829268296,67.91323343304188
1917,9545681.43298969,81125523075.2,43.70188888888889,70.19087473794549
1918,9612536.948453609,80942273622.4,42.08242168674699,68.48654432825643
1919,9683573.489690721,80843741827.2,34.415386363636365,60.42925428816467
1920,8816892.544186046,68513057277.38776,38.69296703296703,66.46176891975949
1921,9639928.41919192,67257617679.67347,33.950153846153846,62.44378592162555
1922,9921589.386597939,74390665845.10638,36.4015393258427,65.33228932584271
1923,10008241.30412371,76126039293.33333,41.29660674157304,70.31427183591266
1924,10096280.93814433,77485637619.2,40.95666666666666,70.25413836477988
1925,10185722.288659794,78759879878.2745,41.39597777777778,70.936628721174
1926,10171840.877551021,81670763429.64706,38.92863829787234,68.45185056202328
1927,10316155.841025641,85142318580.48,41.601625,71.22451179245283
1928,10462075.81443299,87756998013.44,39.760729999999995,69.47887150943396
1929,10559142.8814433,93937928592.29091,42.67656,72.42651754716981
1930,9675412.616822429,95208969213.53847,38.95773267326732,68.86721852232392
1931,10600962.340101523,89853633963.4717,33.81675,64.02693867924528
1932,10872769.974226804,86856210530.46153,30.198123809523807,60.56193513027853
1933,10984477.036082475,85428449692.98112,30.62708256880734,60.920747663146955
1934,11097570.63402062,90919569102.76923,33.61823148148148,63.96410412299092
1935,11212082.6185567,96215468499.6923,35.28808333333333,65.53992295597484
1936,11213209.989795918,100095281386.26414,38.713796296296294,69.06224440950385
1937,11388910.861538462,106518974419.6923,41.383074074074074,71.6812108665269
1938,11566825.355670104,101411819685.23636,38.543834862385324,68.88433957936645
1939,11622781.753846154,102137566393.7255,40.049,70.33454716981132
1940,10654930.176744185,106998603955.2,44.538165137614676,77.20584909987883
1941,11895343.407216495,116707350738.66667,46.407897196261686,80.41448210192206
1942,11993273.902061855,118168452474.66667,47.631,82.12547169811322
1943,12085238.113402061,126816450799.30435,44.95602678571429,79.77371074797844
1944,12177331.1185567,134320720683.63637,46.04194594594595,80.61196481387049
1945,12205799.748717949,122417081452.08888,37.94876785714286,72.28654144204853
1946,12171448.126903553,108900716682.66667,40.68720175438597,74.76484326381993
1947,12457006.3814433,107898977065.79591,43.180563025210084,76.76566208181386
1948,12563015.355670104,114120652743.68,44.757909090909095,78.0218524871355
1949,12696949.55670103,117089409972.70589,42.649040650406505,75.49161612210462
1950,10910909.427947598,53083483591.5461,33.754022988505746,72.27009374322273
1951,11199156.837004405,56927831235.46099,35.36970454545454,74.94002058319037
1952,11406716.017621145,57396142380.190475,35.6374011299435,76.92516056390576
1953,11626905.45814978,60689958682.5034,36.63355367231639,79.0068649930711
1954,11854556.45814978,62166513502.25851,37.22230337078651,81.1187562009752
1955,12092748.317180617,66178813144.59864,40.07974033149171,85.27745259564264
1956,12334628.607929515,68924337226.28572,42.65742541436464,89.37774616908163
1957,12585024.092511013,71520052296.27211,43.73462087912088,92.0970218225171
1958,12841485.105726872,72974310374.63945,44.13350537634409,93.91137801785352
1959,13080070.775330396,76664668379.9728,44.77838860103627,98.0947612425457
1960,13180357.908296943,84212717989.13513,47.40396373056995,92.06103448528692
1961,13511903.713656388,87142553366.16216,47.188855670103095,87.7747849153861
1962,13768682.806167401,91881039735.56757,48.35441836734694,86.76076742395071
1963,14072931.599118942,96785283464.54054,50.685091370558375,86.84185552150177
1964,14387492.008810572,103391980884.54054,52.576840000000004,87.47315603773586
1965,14695298.422907488,108845275838.05405,54.96566,85.84090056603773
1966,15000488.629955947,114636510797.24324,57.58025,87.36117924528301
1967,15304471.63876652,119152571665.72974,59.343019999999996,91.11565679245282
1968,15618723.484581498,125692280682.91891,62.25691044776119,95.52622176851591
1969,15943903.453744493,133125427609.83784,66.42724378109453,95.81305981883038
1970,16131963.030567685,139617004517.36914,70.8796568627451,99.37401063633
1971,16602245.634361234,145615189273.98657,73.36806341463415,101.5081153014266
1972,16930876.599118944,153039800427.1678,76.34498543689321,105.75805147462906
1973,17263082.524229076,155447418283.6319,80.38255825242719,108.40993561091776
1974,17594472.55506608,167039923344.96643,80.23072330097087,106.64177047078218
1975,17919935.16740088,170158204273.9329,80.6110291262136,107.67468950357208
1976,18241644.607929517,178060895520.0,85.20390291262136,111.49241234658362
1977,18564224.524229076,185526673055.8926,87.63425728155339,115.65991765891188
1978,18889535.559471365,194111627937.8255,90.38989805825243,116.67132258655431
1979,19223834.57709251,201691130332.13422,93.00974757281553,118.38138436526836
1980,19399405.973799128,195847546690.25766,92.49903883495145,118.71305298589485
1981,19924085.828193832,199583709016.04907,89.53835576923076,119.35884161828737
1982,20291098.026431717,201948095277.3497,88.9966778846154,118.59091845065313
1983,20660488.86784141,207675246051.33743,89.6550048076923,124.07503310957908
1984,21030107.568281937,217127329536.09814,93.2615120772947,132.16177151125697
1985,21408284.911894273,223586692010.92682,96.41631400966183,131.2051347643788
1986,21797206.559471365,231204653866.14633,97.74787922705315,133.3894028119588
1987,22197540.149779737,239824140777.36584,99.74306250000001,133.5930483490566
1988,22599601.792951543,250028438540.09756,103.66547596153845,136.29858445210448
1989,23002117.070484582,257884324403.41464,105.02581730769231,136.05748240203192
1990,23206156.76419214,261230993151.0303,102.81070833333334,132.94951965408805
1991,23805905.352422908,267043024292.19513,105.57933953488373,132.79043387450636
1992,24186516.123348016,273279956644.2927,101.49348847926267,130.47482338492304
1993,24559679.36123348,278972524514.3273,102.07941284403671,129.76822416479143
1994,24926445.7753304,288916632748.4121,102.67234862385321,135.23237692574
1995,25289672.62555066,300237355702.8848,104.76438990825687,136.10956443655877
1996,25650397.682819385,313071912005.0424,107.74514678899082,138.85232603427383
1997,26008516.528634362,325658928958.0606,108.24259174311926,147.8505681582136
1998,26365051.93832599,333602256947.7818,107.63821100917431,142.02849874502337
1999,26720276.36123348,346053023792.6788,109.90583944954129,142.68464605331488
2000,26842722.44978166,363799069466.9576,113.16541743119265,142.9990259217587
2001,27200064.947598252,374398978259.00604,114.17071100917431,140.65954119785357
2002,27556641.55021834,387223492787.3939,116.36439269406392,147.50978892047902
2003,27912540.052401748,403130666308.46063,122.46404109589041,161.76198449211682
2004,28270020.790393014,425791923731.3939,126.63161643835616,159.81623436288447
2005,28629999.3930131,447906084601.79395,130.922100456621,158.97569951322478
2006,28993540.624454148,473573468418.9091,135.1512100456621,164.2340355173602
2007,29362726.34934498,499574302500.46063,139.06113242009133,165.2677173257517
2008,29736785.109170306,514592678380.2182,142.27933486238533,170.31895278691363
2009,30115465.131004367,514968973220.65454,140.08734862385322,169.44133918989095
2010,30496706.95633188,545518389271.2727,148.0513623853211,176.4229803098494
2011,31012925.62280702,568425938387.3939,153.07230733944954,181.5554063960533
2012,31401330.71491228,584864390317.3818,155.52061009174312,183.70094971438462
2013,31791235.29385965,603034867518.0605,156.8813990825688,182.63227172407824
2014,32179153.092105262,622507167497.3091,158.0410229357798,186.27905595464773
2015,32563365.684210528,639730599660.2181,157.76069724770645,189.16548970053663
2016,32944430.798245613,651089846281.3091,157.5438348623853,184.71392920200793
2017,33323227.52631579,670294970292.3636,159.8997247706422,186.0845360913969
2018,33840004.84581498,690145555098.3757,163.06269266055045,188.7514803963995
2019,34197640.136563875,,164.33256880733944,192.83386126016964
2020,34532513.81938326,,157.4176880733945,182.42687675263977
2021,34833612.47136564,,165.58008715596333,190.80153055218975
